# Rime user dictionary
#@/db_name	wubi86.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	15721
#@/user_id	0bb3099a-66e4-4762-83f5-648368fe1502
cfqj 	对象	c=13 d=1.12842 t=15721
cfxx 	对比	c=1 d=0.00307331 t=15721
cfyi 	对应	c=4 d=0.00385557 t=15721
cjg 	馹	c=1 d=8.80818e-008 t=15721
ckf 	台	c=19 d=1.25186 t=15721
ckrp 	驶近	c=1 d=6.9827e-011 t=15721
cl 	劝	c=2 d=0.00379148 t=15721
cmpw 	观察	c=3 d=0.355729 t=15721
cmq 	观	c=3 d=0.0122161 t=15721
cn 	马	c=3 d=0.178173 t=15721
cnhh 	马上	c=1 d=1 t=15721
cpx 	驼	c=2 d=8.05416e-018 t=15721
cq 	允	c=2 d=1 t=15721
cqqb 	欢迎	c=2 d=1.32151e-015 t=15721
cqw 	欢	c=2 d=9.62923e-018 t=15721
cqy 	鸡	c=2 d=1.79769e-010 t=15721
cqyt 	允许	c=11 d=0.00302755 t=15721
cr 	牟	c=1 d=1.65924e-016 t=15721
ctdj 	骄	c=3 d=4.26205e-012 t=15721
cwgi 	验	c=2 d=3.3471e-007 t=15721
cwy 	难	c=6 d=0.782705 t=15721
cwyg 	难	c=1 d=1.6019e-014 t=15721
cwyg 	验证	c=2 d=3.48041e-014 t=15721
cyy 	馼	c=1 d=2.17207e-008 t=15721
d 	在	c=367 d=2.8708 t=15721
da 	左	c=7 d=7.02586e-005 t=15721
dbd 	顾	c=1 d=4.60297e-020 t=15721
dbm 	础	c=3 d=3.68067e-007 t=15721
dc 	友	c=2 d=0.000696112 t=15721
dcg 	码	c=75 d=1.96665 t=15721
dcw 	雄	c=1 d=6.96586e-012 t=15721
dd 	大	c=115 d=2.01168 t=15721
ddgo 	厌恶	c=2 d=7.48646e-007 t=15721
ddih 	大小	c=1 d=0.066205 t=15721
ddip 	大学	c=1 d=0.781278 t=15721
ddpd 	厉害	c=1 d=0.000958635 t=15721
ddu 	套	c=6 d=0.206027 t=15721
de 	胡	c=2 d=1.00295e-016 t=15721
df 	夺	c=3 d=8.09042e-008 t=15721
dfa 	奔	c=1 d=3.32747e-026 t=15721
dfef 	辱	c=1 d=9.5285e-021 t=15721
dfny 	砖	c=1 d=2.95733e-021 t=15721
dfsa 	大规模	c=1 d=2.27909e-015 t=15721
dfsv 	压根	c=1 d=6.36307e-006 t=15721
dfy 	压	c=2 d=2.05717e-008 t=15721
dfyi 	压	c=6 d=7.01269e-006 t=15721
dg 	三	c=26 d=0.693665 t=15721
dga 	研	c=2 d=5.73536e-014 t=15721
dgip 	感觉	c=5 d=0.290158 t=15721
dgj 	硬	c=4 d=2.65936e-005 t=15721
dgk 	咸	c=1 d=0.1764 t=15721
dgkn 	感	c=8 d=0.367183 t=15721
dgpw 	研究	c=12 d=0.000474721 t=15721
dgt 	厂	c=5 d=1.29992 t=15721
dgte 	硬盘	c=7 d=3.44317e-008 t=15721
dgwr 	硬件	c=1 d=2.69958e-007 t=15721
dh 	丰	c=5 d=3.71263e-012 t=15721
dhb 	存	c=4 d=0.00183583 t=15721
dhbd 	存	c=97 d=0.11418 t=15721
dhc 	破	c=3 d=4.45341e-006 t=15721
dhd 	慧	c=4 d=1.44921e-012 t=15721
dhdh 	存在	c=2 d=0.00208003 t=15721
dhjj 	夏日	c=1 d=4.70811e-021 t=15721
dhng 	艳情	c=1 d=1.44199e-012 t=15721
dhpg 	丰富	c=3 d=1.83972e-010 t=15721
dhqe 	破解	c=1 d=3.65951e-006 t=15721
dhwy 	存储	c=1 d=1.06119e-008 t=15721
ditn 	耗	c=1 d=0.0029528 t=15721
dj 	百	c=4 d=4.02736e-006 t=15721
djd 	非	c=5 d=0.00328017 t=15721
djdd 	非	c=5 d=0.010202 t=15721
djf 	百	c=6 d=5.81541e-006 t=15721
djip 	非常	c=8 d=2.91947e-008 t=15721
dk 	右	c=28 d=0.0318188 t=15721
dkdk 	大吃大喝	c=1 d=2.10931e-016 t=15721
dl 	历	c=1 d=1.34867e-019 t=15721
dlfj 	奋进	c=1 d=3.04108e-026 t=15721
dlkq 	历史	c=22 d=0.0611149 t=15721
dln 	劯	c=1 d=2.66672e-010 t=15721
dluf 	奋斗	c=1 d=8.07915e-021 t=15721
dlv 	历	c=6 d=9.68764e-010 t=15721
dm 	面	c=87 d=1.37109 t=15721
dmeg 	而且	c=18 d=1.88814 t=15721
dmhj 	布	c=1 d=5.03131e-008 t=15721
dmj 	而	c=58 d=1.04644 t=15721
dmjf 	耐	c=1 d=1.18611e-008 t=15721
dmlf 	布置	c=1 d=1 t=15721
dmnn 	布局	c=1 d=6.80798e-007 t=15721
dmrn 	厕所	c=1 d=2.07325e-019 t=15721
dmtm 	面向	c=3 d=0.81025 t=15721
dmu 	页	c=40 d=6.33037 t=15721
dn 	成	c=99 d=1.16231 t=15721
dnad 	尤其	c=2 d=0.0137736 t=15721
dnal 	成功	c=7 d=6.12015e-007 t=15721
dnee 	尨	c=2 d=8.54931e-010 t=15721
dnkm 	成员	c=3 d=4.39664e-008 t=15721
dnp 	迈	c=1 d=1.64134e-006 t=15721
dnrg 	磖	c=1 d=4.15998e-006 t=15721
dnsg 	成本	c=1 d=0.172907 t=15721
dnta 	成长	c=1 d=0.527292 t=15721
dnu 	怘	c=1 d=1.55134e-019 t=15721
dnv 	万	c=12 d=3.48918e-006 t=15721
dnyb 	成熟	c=1 d=7.27386e-021 t=15721
dnyi 	成就	c=4 d=0.607072 t=15721
dnyl 	成为	c=1 d=6.12835e-005 t=15721
dou 	灰	c=1 d=3.22528e-012 t=15721
dp 	达	c=6 d=0.0118551 t=15721
dpvt 	百家姓	c=1 d=1.34194e-019 t=15721
dq 	克	c=2 d=0.000104638 t=15721
dqb 	克	c=3 d=1.40166 t=15721
dqe 	确	c=9 d=8.38555e-008 t=15721
dqeh 	确	c=1 d=1.38521e-010 t=15721
dqpg 	确定	c=12 d=1.83156 t=15721
dqpu 	确实	c=2 d=1.93078e-005 t=15721
dqq 	爽	c=1 d=4.83403e-008 t=15721
dqyw 	确认	c=1 d=1.71893e-020 t=15721
dr 	原	c=2 d=1 t=15721
drga 	原型	c=1 d=9.1313e-008 t=15721
drgj 	原理	c=16 d=2.46488e-007 t=15721
drgo 	原来	c=7 d=1.94649 t=15721
dri 	原	c=9 d=0.796658 t=15721
drin 	愿	c=5 d=3.18851e-019 t=15721
drjg 	原是	c=1 d=3.74597e-008 t=15721
drld 	原因	c=6 d=0.00436474 t=15721
drmj 	原则	c=4 d=0.0638751 t=15721
drog 	面的业	c=2 d=1.99501 t=15721
drvc 	原始	c=5 d=0.909427 t=15721
ds 	厅	c=1 d=6.38714e-021 t=15721
dskf 	奇	c=1 d=1.27849e-008 t=15721
dsnc 	奇怪	c=3 d=1.63631e-019 t=15721
dsvi 	奇妙	c=1 d=5.17467e-015 t=15721
dt 	帮	c=3 d=1.12516e-005 t=15721
dteg 	帮助	c=8 d=0.00910959 t=15721
dtjf 	故里	c=1 d=7.75312e-007 t=15721
duo 	碰	c=1 d=1.07693e-019 t=15721
dute 	磁盘	c=1 d=0.00204157 t=15721
dux 	磁	c=1 d=0.000728153 t=15721
duxx 	磁	c=3 d=0.00193997 t=15721
dv 	肆	c=1 d=1.42124e-018 t=15721
dwf 	奉	c=1 d=8.35697e-007 t=15721
dx 	龙	c=1 d=3.26836e-021 t=15721
dy 	太	c=22 d=0.36251 t=15721
dyi 	太	c=1 d=0.276651 t=15721
dyla 	尤文图斯	c=1 d=0.00364281 t=15721
dyn 	态	c=10 d=2.93908e-007 t=15721
dyya 	态度	c=2 d=0.0130358 t=15721
e 	有	c=261 d=2.14751 t=15721
ebtl 	服务	c=10 d=0.0564319 t=15721
ec 	肥	c=3 d=0.0278389 t=15721
ecl 	盈	c=1 d=9.05762e-013 t=15721
ee 	朋	c=1 d=0.0081887 t=15721
eedc 	朋友	c=1 d=1.92377e-021 t=15721
eeee 	月	c=4 d=0.00822975 t=15721
eerq 	貌	c=1 d=9.56323e-005 t=15721
ef 	肝	c=1 d=1.58926e-009 t=15721
efcb 	脚	c=5 d=0.00852843 t=15721
efip 	肚泻	c=1 d=1.42371e-009 t=15721
efsg 	脚本	c=1 d=1.10984e-006 t=15721
efuk 	肝癌	c=1 d=0.00366107 t=15721
eg 	且	c=1 d=5.90832e-016 t=15721
egd 	且	c=15 d=0.212248 t=15721
egl 	助	c=3 d=3.69662e-016 t=15721
egln 	助	c=21 d=0.00748391 t=15721
ei 	膛	c=3 d=1.27827e-006 t=15721
emc 	股	c=1 d=2.18482e-018 t=15721
en 	甩	c=1 d=1.9431e-021 t=15721
ep 	爱	c=9 d=4.18644e-013 t=15721
epc 	受	c=8 d=0.213312 t=15721
epi 	逐	c=2 d=0.00268523 t=15721
epna 	爱惜	c=2 d=8.05825e-014 t=15721
eqqb 	胸	c=3 d=0.0208994 t=15721
es 	采	c=7 d=7.22773e-005 t=15721
esxm 	采纳	c=1 d=7.14707e-020 t=15721
et 	用	c=341 d=4.2113 t=15721
etea 	腹膜	c=1 d=1.05834e-020 t=15721
etgg 	胜	c=1 d=8.48327e-007 t=15721
etgo 	用来	c=3 d=0.109027 t=15721
etpb 	用字	c=3 d=0.0417941 t=15721
etrg 	用兵	c=1 d=1.33711e-006 t=15721
etya 	用度	c=1 d=1.04963e-011 t=15721
etyn 	用户	c=2 d=0.00117378 t=15721
eudc 	腾	c=1 d=1.22095e-025 t=15721
eudi 	滕	c=1 d=3.22748e-020 t=15721
eukq 	脱	c=1 d=3.09292e-019 t=15721
ev 	妥	c=1 d=3.26836e-021 t=15721
ey 	及	c=10 d=1.47811 t=15721
eyb 	脑	c=8 d=5.00862e-006 t=15721
eyi 	及	c=23 d=0.0341319 t=15721
f 	地	c=78 d=0.267434 t=15721
fa 	载	c=3 d=2.07614e-006 t=15721
fad 	堪	c=1 d=0.501576 t=15721
fagk 	夫荣妻贵	c=1 d=0.0605068 t=15721
fakg 	域	c=11 d=1.33734e-008 t=15721
fal 	载	c=52 d=0.995946 t=15721
falw 	戴	c=1 d=0.970446 t=15721
fas 	栽	c=1 d=3.22913e-026 t=15721
fasd 	塔顶	c=1 d=6.41916e-021 t=15721
fawy 	截	c=5 d=0.311923 t=15721
fb 	地	c=2 d=2.78566e-009 t=15721
